difficulty,total_hours,enrolled,rating,institution
beginner,48.0,6049.0,4.7,University at Buffalo
beginner,84.0,9826.0,4.8,The Museum of Modern Art
intermediate,48.0,12072.0,3.9,Google Cloud
intermediate,18.0,27409.0,4.7,DeepLearning.AI
intermediate,1.0,0.0,4.7,Coursera
intermediate,32.0,35133.0,4.7,Arizona State University
intermediate,72.0,10779.0,4.7,Google Cloud
beginner,18.0,5326.0,4.7,University of California San Diego
beginner,2.0,0.0,4.7,Check Point Software Technologies Ltd.
beginner,11.0,0.0,4.7,Google Cloud
beginner,2.0,0.0,4.7,Coursera
beginner,90.0,26703.0,4.7,Coursera
intermediate,112.0,7876.0,4.8,Imperial College London
intermediate,13.0,0.0,4.4,Google Cloud
beginner,11.0,31602.0,4.7,National Taiwan University
intermediate,28.0,7576.0,4.8,University of Colorado Boulder
intermediate,8.0,0.0,4.5,Alibaba Cloud Academy
beginner,2.0,0.0,4.7,Coursera
advanced,3.0,0.0,4.7,Coursera
intermediate,64.0,12641.0,4.8,University of Colorado Boulder
intermediate,144.0,13242.0,4.8,Northwestern University
intermediate,80.0,16842.0,4.1,University of Minnesota
beginner,48.0,6157.0,4.8,SAS
intermediate,26.0,5542.0,3.0,University of Minnesota
beginner,2.0,0.0,4.7,Coursera
intermediate,30.0,50749.0,4.8,Arizona State University
beginner,80.0,0.0,4.8,SAS
beginner,11.0,3069.0,4.0,ESSEC Business School
beginner,6.0,2650.0,3.3,University of Toronto
beginner,11.0,0.0,4.7,Google Cloud
intermediate,13.0,0.0,4.7,Google Cloud
intermediate,23.0,6143.0,4.9,University of Colorado Boulder
beginner,19.0,26396.0,4.8,Lund University
intermediate,18.0,18571.0,4.7,National Taiwan University
intermediate,84.0,2412.0,4.7,Universidad Nacional Autónoma de México
beginner,3.0,0.0,4.7,Check Point Software Technologies Ltd.
beginner,1.0,0.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
beginner,1.5,0.0,4.7,Coursera
beginner,64.0,7586.0,4.8,University of Toronto
intermediate,80.0,12661.0,3.7,New York University
intermediate,64.0,0.0,4.9,University of Colorado Boulder
beginner,23.0,477113.0,4.7,Princeton University
advanced,37.0,25720.0,4.0,Yandex
intermediate,64.0,23393.0,4.6,University of Minnesota
beginner,19.0,5699.0,4.6,University of Michigan
intermediate,15.0,59679.0,4.8,University of Washington
advanced,120.0,8217.0,4.3,Salesforce
advanced,30.0,4297.0,4.6,EIT Digital 
beginner,5.0,3965.0,4.7,Check Point Software Technologies Ltd.
beginner,10.0,0.0,4.8,Google Cloud
beginner,84.0,3625.0,4.4,University of California San Diego
beginner,13.0,7010.0,4.8,Ludwig-Maximilians-Universität München (LMU)
intermediate,13.0,0.0,4.8,Google Cloud
intermediate,1.0,2753.0,4.7,Coursera
intermediate,1.5,2864.0,4.7,Coursera
beginner,32.0,4772.0,4.4,University of Colorado Boulder
beginner,28.0,84538.0,4.7,École Polytechnique Fédérale de Lausanne
intermediate,84.0,165427.0,4.7,University of Washington
beginner,11.0,4302.0,4.7,Princeton University
intermediate,1.5,0.0,4.7,Coursera
beginner,2.0,2256.0,4.7,Coursera
beginner,48.0,33084.0,4.6,University of Alberta
beginner,96.0,86378.0,4.8,Michigan State University
beginner,48.0,6035.0,4.6,Saint Petersburg State University
intermediate,18.0,19193.0,4.8,Brightline Initiative
beginner,0.0,0.0,4.7,Coursera
intermediate,2.0,0.0,4.7,Coursera
beginner,4.0,0.0,4.7,Check Point Software Technologies Ltd.
intermediate,64.0,0.0,4.6,Google Cloud
intermediate,68.0,0.0,4.7,EIT Digital 
intermediate,30.0,28738.0,4.7,Arizona State University
beginner,11.0,0.0,4.7,Google Cloud
beginner,1.5,0.0,4.7,Coursera
intermediate,1.5,8660.0,4.7,Coursera
intermediate,7.0,0.0,4.7,Novosibirsk State University 
beginner,80.0,7999.0,4.4,"University of California, Irvine"
intermediate,13.0,0.0,4.3,Google Cloud
intermediate,47.0,0.0,4.7,IBM
beginner,21.0,12728.0,4.4,University of California San Diego
beginner,72.0,2051.0,4.8,Columbia University
beginner,140.0,31733.0,4.3,University of Pennsylvania
intermediate,48.0,0.0,4.7,Red Hat
beginner,29.0,3500.0,4.8,University of Arizona
beginner,32.0,8386.0,4.5,Wesleyan University
beginner,64.0,12950.0,4.7,
intermediate,2.0,0.0,4.7,Coursera
beginner,21.0,0.0,3.8,National Research Tomsk State University
beginner,22.0,279471.0,4.3,CentraleSupélec
intermediate,33.0,5723.0,4.7,Arizona State University
intermediate,80.0,110743.0,4.7,DeepLearning.AI
beginner,7.0,0.0,4.7,University of California San Diego
beginner,18.0,0.0,4.7,Google Cloud
beginner,2.0,0.0,4.7,Check Point Software Technologies Ltd.
beginner,18.0,0.0,4.7,Yad Vashem 
intermediate,13.0,23674.0,4.5,Google Cloud
beginner,96.0,22839.0,4.9,Arizona State University
advanced,30.0,9196.0,3.4,LearnQuest
beginner,7.0,9099.0,4.7,University of Colorado Boulder
beginner,6.0,39164.0,4.8,Universidad de los Andes
intermediate,22.0,7716.0,4.6,University of Glasgow 
beginner,80.0,0.0,4.7,Imperial College London
beginner,96.0,4505.0,4.6,University of Colorado System
intermediate,80.0,15776.0,4.9,Universidad de los Andes
beginner,64.0,117615.0,4.5,Imperial College London
beginner,2.0,0.0,4.7,Coursera
beginner,1.0,0.0,4.7,Coursera
beginner,56.0,73720.0,4.7,Northwestern University
beginner,13.0,0.0,4.7,University of Michigan
intermediate,31.0,8490.0,4.7,University of Washington
advanced,128.0,26911.0,4.7,IBM
beginner,9.0,5981.0,4.5,Indian School of Business
intermediate,14.0,46079.0,4.3,Google Cloud
beginner,11.0,24571.0,4.7,Google Cloud
intermediate,7.0,9572.0,4.8,Universidad Nacional Autónoma de México
beginner,25.0,4952.0,4.6,Arizona State University
beginner,96.0,59243.0,4.9,Arizona State University
intermediate,10.0,13344.0,4.8,"University of California, Irvine"
beginner,100.0,89976.0,4.7,"University of California, Davis"
beginner,16.0,12384.0,4.5,Rice University
beginner,96.0,17634.0,4.3,HSE University
beginner,19.0,111619.0,4.3,University of California San Diego
intermediate,100.0,2753.0,4.7,Coursera
intermediate,60.0,14883.0,4.6,Rice University
beginner,64.0,13246.0,4.6,Copenhagen Business School
intermediate,100.0,25995.0,4.8,University of Alberta
beginner,21.0,94033.0,4.5,The Hong Kong University of Science and Technology
advanced,2.0,0.0,4.7,Coursera
beginner,65.0,4654.0,4.7,Coursera
intermediate,60.0,4430.0,4.7,IBM
intermediate,24.0,1593.0,3.8,Moscow Institute of Physics and Technology
intermediate,10.0,0.0,4.1,Google Cloud
intermediate,9.0,7703.0,4.8,Unity
beginner,2.0,0.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
intermediate,80.0,15743.0,4.5,Icahn School of Medicine at Mount Sinai
beginner,17.0,72476.0,4.3,Moscow Institute of Physics and Technology
beginner,22.0,5212.0,4.4,Arizona State University
beginner,2.5,2727.0,4.7,Coursera
intermediate,100.0,25179.0,4.7,Coursera
beginner,9.0,11546.0,4.7,University of Michigan
beginner,80.0,70032.0,4.1,"University of California, Davis"
beginner,10.0,4655.0,4.7,University of Colorado Boulder
intermediate,48.0,10057.0,4.9,University of Pennsylvania
beginner,100.0,11631.0,4.7,Palo Alto Networks
intermediate,56.0,30860.0,4.5,Tecnológico de Monterrey
intermediate,2.0,4207.0,4.7,Coursera
intermediate,2.0,0.0,4.7,Coursera
beginner,40.0,47915.0,4.7,University System of Georgia
intermediate,11.0,13950.0,4.6,IE Business School
beginner,22.0,22837.0,4.7,The Hong Kong University of Science and Technology
beginner,200.0,0.0,4.8,IBM
beginner,1.0,0.0,4.7,Coursera
beginner,120.0,2943.0,4.7,Coursera
intermediate,12.0,0.0,4.7,Google Cloud
beginner,4.0,9115.0,4.1,Vanderbilt University
beginner,3.0,92791.0,4.8,Osmosis
beginner,12.0,8308.0,4.6,University of Virginia
beginner,9.0,35407.0,4.7,California Institute of the Arts
beginner,13.0,23571.0,4.5,Arizona State University
beginner,9.0,31833.0,4.8,IBM
beginner,48.0,8875.0,4.6,LearnQuest
intermediate,16.0,2857.0,4.7,University of Colorado Boulder
intermediate,18.0,6811.0,4.8,IBM
beginner,17.0,38369.0,4.4,Case Western Reserve University
intermediate,9.0,10393.0,4.3,National Research Tomsk State University
intermediate,60.0,3919.0,4.1,Shanghai Jiao Tong University
beginner,72.0,37976.0,4.6,IE Business School
beginner,84.0,3989.0,4.8,University of Colorado System
intermediate,60.0,13240.0,4.3,University of Minnesota
intermediate,40.0,32069.0,4.7,University System of Georgia
beginner,14.0,0.0,4.7,Saint Petersburg State University
beginner,90.0,42090.0,4.9,Hebrew University of Jerusalem
intermediate,26.0,4615.0,4.7,Shanghai Jiao Tong University
beginner,0.0,7421.0,4.9,Cresça com o Google
beginner,13.0,0.0,4.5,University of Cape Town
beginner,9.0,24932.0,4.4,IE Business School
intermediate,12.0,0.0,4.7,Google Cloud
beginner,17.0,53758.0,4.8,University of Illinois at Urbana-Champaign
intermediate,13.0,9502.0,4.2,IBM
beginner,6.0,46607.0,4.9,Stanford University
advanced,33.0,8919.0,4.8,Peking University
beginner,72.0,87284.0,4.7,Rutgers the State University of New Jersey
beginner,10.0,3523.0,4.8,Michigan State University
beginner,14.0,59173.0,4.7,Georgia Institute of Technology
beginner,25.0,22540.0,4.4,Peking University
beginner,96.0,25425.0,4.8,Shanghai Jiao Tong University
beginner,72.0,35247.0,4.6,IE Business School
beginner,48.0,0.0,4.2,Stanford University
beginner,1.0,0.0,4.7,Coursera
beginner,64.0,3338.0,4.7,Advancing Women in Product
advanced,192.0,5320.0,4.7,IBM
advanced,48.0,10321.0,4.2,University of Colorado Boulder
beginner,20.0,4465.0,3.8,The Hong Kong University of Science and Technology
beginner,44.0,121195.0,4.9,Hebrew University of Jerusalem
beginner,14.0,70101.0,4.7,IE Business School
intermediate,1.5,0.0,4.7,Coursera
beginner,66.0,0.0,4.1,University at Buffalo
intermediate,12.0,0.0,4.7,Google Cloud
beginner,11.0,8314.0,4.6,University of Pennsylvania
beginner,11.0,3742.0,4.7,University of Houston
advanced,18.0,16578.0,4.8,Peking University
beginner,2.5,0.0,4.7,Coursera
intermediate,48.0,3056.0,4.6,New York Institute of Finance
beginner,8.0,45785.0,4.8,Universidad Nacional Autónoma de México
beginner,2.0,0.0,4.7,Coursera
beginner,16.0,15557.0,4.6,"University of California, Irvine"
beginner,14.0,3771.0,4.1,University of California San Diego
beginner,28.0,25965.0,4.5,
intermediate,56.0,27526.0,4.6,Northwestern University
intermediate,240.0,0.0,4.4,University of Colorado Boulder
beginner,100.0,33289.0,4.7,Universidad Austral
beginner,25.0,22959.0,4.8,Rice University
advanced,140.0,44906.0,4.7,University of Toronto
intermediate,23.0,18774.0,4.9,California Institute of the Arts
beginner,1.0,0.0,4.7,Coursera
beginner,96.0,0.0,4.6,CertNexus
intermediate,12.0,0.0,4.7,Google Cloud
beginner,19.0,2662.0,4.7,Michigan State University
intermediate,24.0,14908.0,4.8,HSE University
intermediate,56.0,26286.0,4.8,Peking University
beginner,7.0,1170576.0,4.9,
intermediate,1.5,0.0,4.7,Coursera
intermediate,1.5,9369.0,4.7,Coursera
beginner,40.0,10677.0,4.4,Rutgers the State University of New Jersey
beginner,27.0,225600.0,4.6,University of Amsterdam
beginner,19.0,28982.0,4.7,University of Toronto
beginner,1.0,0.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
intermediate,2.0,2165.0,4.7,Coursera
beginner,32.0,18181.0,4.7,BCG
beginner,24.0,0.0,4.7,Google Cloud
beginner,60.0,1910.0,4.8,Emory University
beginner,64.0,26770.0,4.5,"University of California, Davis"
intermediate,12.0,5000.0,4.1,Northeastern University 
intermediate,64.0,49438.0,4.7,Google Cloud
beginner,7.0,11441.0,4.5,Insper
intermediate,12.0,19586.0,4.6,Google Cloud
beginner,7.0,13011.0,4.7,Rice University
intermediate,27.0,9554.0,4.8,Peking University
beginner,8.0,4371.0,4.5,Peter the Great St. Petersburg Polytechnic University
beginner,12.0,18254.0,4.4,Tecnológico de Monterrey
beginner,9.0,0.0,4.7,University of Geneva
intermediate,1.5,0.0,4.7,Coursera
beginner,120.0,2890.0,4.7,Coursera
beginner,20.0,88541.0,4.7,University of Toronto
intermediate,64.0,8675.0,4.7,University of Leeds
beginner,96.0,982472.0,4.8,University of Michigan
advanced,64.0,6349.0,4.3,University of Colorado Boulder
beginner,60.0,76532.0,4.7,University of Michigan
intermediate,2.0,0.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
beginner,2.0,2977.0,4.7,Coursera
beginner,9.0,67808.0,4.6,University of Colorado Boulder
intermediate,20.0,0.0,4.7,CertNexus
beginner,17.0,150126.0,4.9,University of London
intermediate,32.0,14964.0,4.7,Google Cloud
intermediate,2.0,0.0,4.7,Coursera
intermediate,22.0,9777.0,4.6,Moscow Institute of Physics and Technology
advanced,132.0,2561.0,4.4,IBM
intermediate,10.0,0.0,4.7,Saint Petersburg State University
beginner,17.0,8556.0,4.8,University of Lausanne
intermediate,60.0,17669.0,4.7,Peking University
beginner,17.0,25670.0,4.8,Macquarie University
beginner,96.0,5283.0,4.8,Macquarie University
beginner,96.0,12047.0,4.7,Rice University
beginner,14.0,69929.0,4.7,Emory University
intermediate,0.0,0.0,4.7,Coursera
beginner,80.0,24393.0,4.6,
intermediate,40.0,10586.0,4.1,University of California San Diego
beginner,80.0,2956.0,4.7,IBM
intermediate,14.0,28779.0,4.7,IE Business School
beginner,2.0,0.0,4.7,Coursera
intermediate,2.0,0.0,4.7,Coursera
intermediate,2.0,6820.0,4.7,Coursera
beginner,8.0,18733.0,4.4,Indian School of Business
intermediate,60.0,0.0,4.6,Google Cloud
beginner,6.0,3028.0,4.9,Stanford University
intermediate,21.0,9281.0,4.1,
beginner,0.0,0.0,4.7,
beginner,2.0,0.0,4.7,Coursera
beginner,2.0,4377.0,4.7,Coursera
beginner,5.0,5718.0,4.8,Università Bocconi
intermediate,12.0,14275.0,4.7,University of Florida
beginner,22.0,17362.0,4.5,Peking University
intermediate,11.0,0.0,4.7,Saint Petersburg State University
beginner,48.0,33181.0,4.6,Copenhagen Business School
intermediate,2.0,2346.0,4.7,Coursera
beginner,13.0,33843.0,4.8,Google
beginner,7.0,3341.0,4.8,Politecnico di Milano
intermediate,12.0,0.0,4.3,EIT Digital 
beginner,72.0,5200.0,4.8,University System of Georgia
beginner,36.0,6438.0,4.7,IBM
beginner,9.0,16214.0,3.9,
beginner,120.0,66182.0,4.7,Duke University
beginner,140.0,127380.0,4.6,University of Michigan
beginner,56.0,3877.0,4.7,University of Colorado System
beginner,29.0,0.0,4.7,Salesforce
intermediate,17.0,11232.0,4.6,University of Illinois at Urbana-Champaign
intermediate,72.0,0.0,4.7,CertNexus
beginner,15.0,4913.0,4.7,University of Colorado Boulder
intermediate,1.0,0.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
intermediate,23.0,5451.0,4.5,Amazon Web Services
beginner,16.0,3706.0,4.7,IBM
intermediate,16.0,0.0,4.7,Saint Petersburg State University
beginner,37.0,54144.0,4.9,Peking University
beginner,96.0,68172.0,4.7,University of Illinois at Urbana-Champaign
beginner,120.0,33306.0,4.8,Vanderbilt University
beginner,20.0,149277.0,4.7,"University of California, Irvine"
intermediate,28.0,20018.0,4.8,The University of Melbourne
beginner,11.0,19907.0,4.8,Korea Advanced Institute of Science and Technology(KAIST)
beginner,96.0,2551.0,4.3,University of Pennsylvania
beginner,11.0,17884.0,4.5,Indian School of Business
intermediate,2.0,0.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
intermediate,64.0,6141.0,4.6,"University of California, Davis"
intermediate,13.0,6905.0,4.5,University of Pennsylvania
beginner,0.0,18377.0,4.9,Crece con Google
intermediate,1.5,5967.0,4.7,Coursera
intermediate,1.0,3488.0,4.7,Coursera
intermediate,2.0,0.0,4.7,Coursera
beginner,18.0,0.0,4.0,Saint Petersburg State University
advanced,12.0,9970.0,3.5,Columbia University
intermediate,23.0,3924.0,4.4,Amazon Web Services
beginner,14.0,3066.0,4.7,University of Colorado Boulder
beginner,1.0,0.0,4.7,Google - Spectrum Sharing
beginner,21.0,911282.0,4.8,Peking University
advanced,40.0,23950.0,4.2,ESSEC Business School
intermediate,25.0,2772.0,4.8,EIT Digital 
beginner,13.0,0.0,4.7,The State University of New York
beginner,5.0,78037.0,4.4,Duke University
beginner,100.0,3876.0,4.7,Yale University
beginner,24.0,67296.0,4.6,"University of California, Irvine"
intermediate,84.0,17083.0,4.4,University of London
beginner,60.0,20136.0,4.7,Berklee College of Music
intermediate,1.0,0.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
intermediate,56.0,5580.0,4.8,Google Cloud
beginner,4.0,3928.0,4.8,University of Virginia
advanced,6.0,2926.0,3.4,Columbia University
beginner,14.0,5615.0,4.7,Rutgers the State University of New Jersey
beginner,17.0,2771.0,4.6,HEC Paris
intermediate,23.0,3614.0,4.9,Amazon Web Services
intermediate,2.0,5182.0,4.7,Coursera
intermediate,2.0,0.0,4.7,Coursera
beginner,2.0,2126.0,4.7,Coursera
beginner,13.0,7375.0,4.7,The Hong Kong University of Science and Technology
beginner,84.0,99330.0,4.5,Duke University
intermediate,13.0,0.0,4.3,EIT Digital 
beginner,1.0,0.0,4.7,Coursera
beginner,5.0,1679.0,4.7,Korea Advanced Institute of Science and Technology(KAIST)
intermediate,36.0,0.0,4.5,LearnQuest
beginner,96.0,17699.0,4.1,
beginner,96.0,8349.0,4.4,University at Buffalo
beginner,56.0,6945.0,4.8,Rutgers the State University of New Jersey
beginner,140.0,78501.0,4.6,"University of California, Davis"
beginner,10.0,39578.0,4.7,ConsenSys Academy
beginner,84.0,0.0,4.7,IBM
beginner,8.0,249703.0,4.7,Pontificia Universidad Católica de Chile
advanced,45.0,1890.0,4.3,University of Colorado System
beginner,2.0,0.0,4.7,Coursera
beginner,2.0,14243.0,4.7,Coursera
intermediate,11.0,5336.0,4.8,IE Business School
beginner,48.0,44258.0,4.6,University of Michigan
beginner,8.0,22647.0,3.7,ESSEC Business School
beginner,17.0,17467.0,4.8,The Hong Kong University of Science and Technology
advanced,23.0,11321.0,4.9,Autodesk
intermediate,1.5,1808.0,4.7,Coursera
intermediate,1.0,0.0,4.7,Coursera
intermediate,2.0,0.0,4.7,Coursera
beginner,80.0,14588.0,4.6,Duke University
beginner,4.0,3680.0,4.5,Korea Advanced Institute of Science and Technology(KAIST)
beginner,0.0,13264.0,4.7,Coursera
intermediate,56.0,14264.0,4.3,Emory University
beginner,80.0,36258.0,4.7,University of Pennsylvania
beginner,48.0,8936.0,4.8,University of Colorado System
beginner,32.0,5211.0,4.5,Automation Anywhere
