collaboration,description,difficulty,duration,free,id_course,n_reviews,rating,school,skills,title,url,language,time_range
Grow With Google,,intermediate,10.0,1,ud241,0,,Career Advancement,"Interview practice, Common Android Questions, Whiteboarding",Android Interview Prep,https://www.udacity.com/course/android-interview-prep--ud241,English,week
,"The goal of the Front End Web Developer Nanodegree program is to equip learners with the unique skills they need to build and develop a variety of websites and applications. Graduates of this Nanodegree program will be able to construct responsive websites using CSS, Flexbox and CSS Grid, develop interactive websites and UI (User Interface) applications using JavaScript and HTML, and connect a web application to backend server data using JavaScript. Students will also build competency automating application build and deployment using Webpack and improving offline performance of websites using Service Worker.",intermediate,160.0,0,nd0011,824,93.13106796116506,School of Programming & Development,"JavaScript, HTML, CSS, Webpack, Flexbox, Node, Object-Oriented Programming",Front End Web Developer,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,English,months
," This class will teach you the end-to-end process of investigating data through a machine learning lens. Learn online, with Udacity. ",intermediate,100.0,1,ud120,0,,School of Artificial Intelligence,"Machine Learning, Supervised Learning, Unsupervised Learning, Evaluation Metrics, Data Manipulation",Introduction to Machine Learning Course,https://www.udacity.com/course/intro-to-machine-learning--ud120,English,weeks
,"Technical interviews follow a pattern. If you know the pattern, you’ll be a step ahead of the competition. This course will introduce you to common data structures and algorithms in Swift. You'll review frequently-asked technical interview questions and learn how to structure your responses.,You will answer practice problems and quizzes to test your abilities. Then you'll practice mock interviews to get specific recommendations for improvement. Be ready for anything the technical interviewer throws at you.",intermediate,40.0,1,ud1011,0,,Career Advancement,"Interview practice, Swift, Data structures, Career Advancement",Data Structures & Algorithms in Swift,https://www.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011,English,weeks
,"Data science job interviews  can be daunting. Technical interviewers often ask you to design an experiment or model. You may need to solve problems using Python and SQL. You will likely need to show how you connect data skills to business decisions and strategy.,In this course, you'll review the common questions asked in data science, data analyst, and machine learning interviews. You'll learn how to answer machine learning questions about predictions, underfitting and overfitting. You'll walk through typical data analyst questions about statistics and probability. Then, you'll dive deeper into the data structures and algorithms you need to know. You'll also learn tips for answering questions like, ""Tell me about one of your recent projects."" At the end of the course, you'll have a chance to practice what you've learned. You'll receive a link for unlimited mock interviews on Pramp. Practice the skills you need to show up for your data science interview with confidence!",intermediate,10.0,1,ud944,0,,Career Advancement,"Interview practice, Common Data Questions, Data Structures, Career Advancement",Data Science Interview Prep,https://www.udacity.com/course/data-science-interview-prep--ud944,English,week
,"In this course, you'll learn exactly what to expect during a product management interview, and view exclusive interviews with practicing core, data, growth, and AI Product Managers. You'll cover how to prepare for a Product Management interview, and understand what skills, abilities, and experience impress hiring managers and help you stand out. You'll watch actual Product Managers run mock strategy and technical interviews, and learn directly from their experience and answers. Finally, you'll get to see what a day in the life looks like for product managers in different specializations. Throughout the course, you will receive additional practice questions to prepare you to ace your next PM interview. Complete this course and be equipped to land your dream role in product management!",beginner,10.0,1,ud034,0,,Career Advancement,"Product Management, Interview Preparation, Career Advancement, Product Strategy, Technical Interview",Product Manager Interview Preparation,https://www.udacity.com/course/product-manager-interview-preparation--ud034,English,week
Grow With Google,,intermediate,10.0,1,ud251,0,,Career Advancement,"Interview practice, Common VR Questions, Whiteboarding, Career Advancement",VR Interview Prep,https://www.udacity.com/course/vr-interview-prep--ud251,English,week
,,intermediate,10.0,1,ud240,0,,Career Advancement,"Interview practice, Common iOS Questions, Whiteboarding, Career Advancement",iOS Interview Prep,https://www.udacity.com/course/ios-interview-prep--ud240,English,week
Grow With Google,,beginner,10.0,1,ud242,0,,Career Advancement,"Personal branding, LinkedIn, Networking, Career Advancement",Strengthen Your LinkedIn Network & Brand,https://www.udacity.com/course/strengthen-your-linkedin-network-and-brand--ud242,English,week
Grow With Google,,beginner,10.0,1,ud243,0,,Career Advancement,"Resume writing, Company targeting, Storytelling, Career Advancement",Refresh Your Resume,https://www.udacity.com/course/refresh-your-resume--ud243,English,days
AWS DeepRacer,"This course will prepare you to create, train, and fine-tune reinforcement learning models in the AWS DeepRacer 3D racing simulator. You will be able to utilize the car's tech specs, assembly, and calibration to train and deploy your racing model using AWS in both simulated and real-world tracks.",intermediate,20.0,1,ud014,0,,School of Artificial Intelligence,"Machine Learning, Reinforcement Learning, AWS DeepRacer",AWS DeepRacer,https://www.udacity.com/course/aws-deepracer--ud014,English,weeks
Facebook AI,"In this course, you’ll learn the basics of deep learning, and build your own deep neural networks using PyTorch. You’ll get practical experience with PyTorch through coding exercises and projects implementing state-of-the-art AI applications such as style transfer and text generation.",intermediate,80.0,1,ud188,0,,School of Artificial Intelligence,"Deep Learning, PyTorch, Neural Networks, CNNs, LSTMs, Style Transfer",Intro to Deep Learning with PyTorch,https://www.udacity.com/course/deep-learning-pytorch--ud188,English,months
TensorFlow,"Learn how to build deep learning applications with TensorFlow. This course was developed by the TensorFlow team and Udacity as a practical approach to deep learning for software developers. You'll get hands-on experience building your own state-of-the-art image classifiers and other deep learning models. You'll also use your TensorFlow models in the real world on mobile devices, in the cloud, and in browsers. Finally, you'll use advanced techniques and algorithms to work with large datasets. By the end of this course, you'll have all the skills necessary to start creating your own AI applications.",intermediate,80.0,1,ud187,0,,School of Artificial Intelligence,,Intro to TensorFlow for Deep Learning,https://www.udacity.com/course/intro-to-tensorflow-for-deep-learning--ud187,English,months
,One of the most interesting topics to visualize in Linear Algebra are Eigenvectors and Eigenvalues. Here you will learn how to easily calculate them and how they are applicable and particularly interesting when it comes to machine learning implementations.,beginner,10.0,1,ud104,0,,School of Artificial Intelligence,"Linear Algebra, Eigenvectors, Eigenvalues",Eigenvectors and Eigenvalues,https://www.udacity.com/course/eigenvectors-and-eigenvalues--ud104,English,week
Georgia Institute of Technology,"This course provides an introduction to computer vision including fundamentals of image formation, camera imaging geometry, feature detection and matching, multiview geometry including stereo, motion estimation and tracking, and classification. We’ll develop basic methods for applications that include finding known models in images, depth recovery from stereo, camera calibration, image stabilization, automated alignment (e.g. panoramas), tracking, and action recognition.  We focus less on the machine learning aspect of CV as that is really classification theory best learned in an ML course.,The focus of the course is to develop the intuitions and mathematics of the methods in lecture, and then to learn about the difference between theory and practice in the problem sets. All algorithms work perfectly in the slides. But remember what , said: In theory there is no difference between theory and practice. In practice there is. (Einstein said something similar but who knows more about real life?) In this course you do not, for the most part, apply high-level library functions but use low to mid level algorithms to analyze images and extract structural information.",intermediate,160.0,1,ud810,0,,School of Artificial Intelligence,"Image Processing, Stereo Geometry, Feature Detection & Matching, Object Tracking, Classification & Recognition",Introduction to Computer Vision,https://www.udacity.com/course/introduction-to-computer-vision--ud810,English,months
TensorFlow Lite,"Learn how to deploy deep learning models on mobile and embedded devices with TensorFlow Lite. This course was developed by the TensorFlow team and Udacity as a practical approach to model deployment for software developers. You'll get hands-on experience with the TensorFlow Lite framework as you deploy deep learning models on Android, iOS, and even an embedded Linux platform. By the end of this course, you'll have all the skills necessary to start deploying your own deep learning models into your apps.",intermediate,80.0,1,ud190,0,,School of Artificial Intelligence,"TensorFlow Lite, Deep Learning Models, Android, iOS, Linux",Introduction to TensorFlow Lite,https://www.udacity.com/course/intro-to-tensorflow-lite--ud190,English,months
Georgia Institute of Technology," Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control. ",advanced,80.0,1,cs373,0,,School of Artificial Intelligence,"Probabilistic Models, Kalman Filters, Motion Planning, Robot Control, Simultaneous Localization & Mapping",Artificial Intelligence for Robotics,https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373,English,months
," This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing. ",intermediate,160.0,1,cs271,0,,School of Artificial Intelligence,"Artificial Intelligence, Machine Learning, Probability, Logic and Planning, Markov models",Intro to Artificial Intelligence,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271,English,months
Georgia Institute of Technology,"This is a core course in artificial intelligence. It is designed to be a challenging course, involving significant independent work, readings, assignments, and projects. It covers structured knowledge representations, as well as knowledge-based methods of problem solving, planning, decision-making, and learning.,The class is organized around three primary learning goals. First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.",advanced,70.0,1,ud409,0,,School of Artificial Intelligence,"Semantic Networks, Common-Sense Reasoning, Logic & Planning, Analogical Reasoning, Visuospatial Reasoning",Knowledge-Based AI: Cognitive Systems,https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409,English,weeks
Facebook,"Exploratory data analysis is an approach for summarizing and visualizing the important characteristics of a data set. Promoted by ,, exploratory data analysis focuses on exploring data to understand the data’s underlying structure and variables, to develop intuition about the data set, to consider how that data set came into existence, and to decide how it can be investigated with more formal statistical methods.,If you're interested in supplemental reading material for the course check out the , book. (Not Required),This course is also a part of our , Nanodegree.",intermediate,80.0,1,ud651,0,,School of Artificial Intelligence,"R, Exploratory Data Analysis, Data Visualization",Data Analysis with R,https://www.udacity.com/course/data-analysis-with-r--ud651,English,months
