,difficulty,duration,free,n_reviews,rating,difficulty_Career Advancement,difficulty_School of Artificial Intelligence,difficulty_School of Autonomous Systems,difficulty_School of Business,difficulty_School of Cloud Computing,difficulty_School of Data Science,difficulty_School of Programming & Development
74,2.0,-0.7495995843577153,1,0.0,,0,0,0,1,0,0,0
75,2.0,1.473006609568546,1,0.0,,0,0,0,0,0,1,0
76,1.0,-0.23669046268242425,1,0.0,,0,0,0,0,0,1,0
77,1.0,-0.5786298771326183,1,0.0,,0,0,0,0,0,1,0
78,2.0,0.10524895176776984,1,0.0,,0,0,0,0,0,1,0
79,2.0,-0.5786298771326183,1,0.0,,0,0,0,0,0,0,1
80,1.0,-0.7495995843577153,1,0.0,,0,0,0,0,0,0,1
81,1.0,1.473006609568546,1,0.0,,0,0,0,0,0,0,1
82,2.0,-1.0915389988079094,1,0.0,,0,0,0,0,0,0,1
83,2.0,-0.9205692915828124,1,0.0,,0,0,0,0,0,0,1
84,0.0,0.7891277806681579,1,0.0,,0,0,0,0,0,0,1
85,0.0,-0.7495995843577153,1,0.0,,0,0,0,0,0,0,1
86,2.0,-1.0915389988079094,1,0.0,,0,0,0,0,0,0,1
87,2.0,-1.0915389988079094,1,0.0,,0,0,0,0,0,0,1
88,2.0,-0.5786298771326183,1,0.0,,0,0,0,0,0,0,1
89,2.0,-0.9205692915828124,1,0.0,,0,0,0,0,0,0,1
90,2.0,1.473006609568546,1,0.0,,0,0,0,0,0,0,1
91,2.0,-0.7495995843577153,1,0.0,,0,0,0,0,0,0,1
92,0.0,0.10524895176776984,1,0.0,,0,0,0,0,0,0,1
93,2.0,-1.0915389988079094,1,0.0,,0,0,0,0,0,0,1
94,1.0,-0.5786298771326183,1,0.0,,0,0,0,0,0,0,1
95,2.0,-1.0915389988079094,1,0.0,,0,0,0,0,0,0,1
96,1.0,-0.5786298771326183,1,0.0,,0,0,0,0,0,0,1
97,1.0,-0.23669046268242425,1,0.0,,0,0,0,0,0,0,1
98,2.0,-0.7495995843577153,1,0.0,,0,0,0,0,0,0,1
99,2.0,-1.0915389988079094,1,0.0,,0,0,0,0,0,0,1
100,0.0,-0.4076601699075213,1,0.0,,0,0,0,0,0,0,1
101,0.0,-1.0915389988079094,1,0.0,,0,0,0,0,0,0,1
102,2.0,-1.0915389988079094,1,0.0,,0,0,0,0,0,0,1
103,0.0,1.473006609568546,1,0.0,,0,0,0,0,0,0,1
104,2.0,1.473006609568546,1,0.0,,0,0,0,0,0,0,1
