collaboration,description,difficulty,duration_hours,duration_weeks,free,id_course,n_reviews,new,rating,school,skills,title,url
Georgia Institute of Technology,,advanced,,"Approx., ,7, ,weeks, ",[True],ud409,,[False],,School of Artificial Intelligence,"Semantic Networks, Common-Sense Reasoning, Logic & Planning, Analogical Reasoning, Visuospatial Reasoning",Knowledge-Based AI: Cognitive Systems,https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409
," Get ready to analyze, visualize, and interpret data! Thought-provoking examples and chances to combine statistics and programming will keep you engaged and challenged. ",beginner,, Approx. 2 Months ,[True],st101,,[False],,School of Programming & Development,"Probability, Descriptive Statistics, Inferential Statistics",Intro to Statistics,https://www.udacity.com/course/intro-to-statistics--st101
,,intermediate,,"Approx., ,2, ,months, ",[False],ud187,,[True],,School of Artificial Intelligence,TensorFlow,Intro to TensorFlow for Deep Learning,https://www.udacity.com/course/intro-to-tensorflow-for-deep-learning--ud187
Georgia Institute of Technology,,intermediate,,"Approx., ,4, ,months, ",[True],ud810,,[False],,School of Artificial Intelligence,"Image Processing, Stereo Geometry, Feature Detection & Matching, Object Tracking, Classification & Recognition",Introduction to Computer Vision,https://www.udacity.com/course/introduction-to-computer-vision--ud810
Google," Build a cloud-connected Android app, and learn the tools, principles, and best practices of mobile and Android development that you'll apply to your own projects. ",intermediate,, Approx. 60 Hours ,[True],ud851,,[False],,School of Programming & Development,"Android Development, Layouts, Intents, UI",Developing Android Apps,https://www.udacity.com/course/new-android-fundamentals--ud851
," In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools. ",beginner,, Approx. 3 Weeks ,[True],ud001,,[False],,School of Programming & Development,"HTML, CSS, CSS Syntax, HTML Syntax Problem Set",Intro to HTML and CSS,https://www.udacity.com/course/intro-to-html-and-css--ud001
TensorFlow Lite,,intermediate,,"Approx., ,2, ,months, ",[False],ud190,,[True],,School of Artificial Intelligence,"TensorFlow Lite, Deep Learning Models, Android, iOS, Linux",Introduction to TensorFlow Lite,https://www.udacity.com/course/intro-to-tensorflow-lite--ud190
," This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing. ",intermediate,, Approx. 4 Months ,[True],cs271,,[False],,School of Artificial Intelligence,"Artificial Intelligence, Machine Learning, Probability, Logic and Planning, Markov models",Intro to Artificial Intelligence,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271
Google,,intermediate,,"Approx., ,2, ,weeks, ",[False],ud9011,,[True],,School of Programming & Development,Android Development,Kotlin Bootcamp for Programmers,https://www.udacity.com/course/kotlin-bootcamp-for-programmers--ud9011
,,intermediate,,"Approx., ,4, ,weeks, ",[False],ud1011,,[True],,Career Advancement,"Interview practice, Swift, Data structures, Career Advancement",Data Structures & Algorithms in Swift,https://www.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011
