title,description
data analysis with r,"exploratory data analysis is an approach for summarizing and visualizing the important characteristics of a data set. promoted by ,, exploratory data analysis focuses on exploring data to understand the data’s underlying structure and variables, to develop intuition about the data set, to consider how that data set came into existence, and to decide how it can be investigated with more formal statistical methods.,if you're interested in supplemental reading material for the course check out the , book. (not required),this course is also a part of our , nanodegree."
intro to hadoop and mapreduce,"the apache™ hadoop® project develops open-source software for reliable, scalable, distributed computing. learn the fundamental principles behind it, and how you can use its power to make sense of your big data."
machine learning for trading,"this course introduces students to the real world challenges of implementing machine learning based trading strategies including the algorithmic steps from information gathering to market orders. the focus is on how to apply probabilistic machine learning approaches to trading decisions. we consider statistical approaches like linear regression, knn and regression trees and how to apply them to actual stock trading situations."
real-time analytics with apache storm,"the world is trending in real time!  learn from twitter to scalably process tweets, or any big data stream, in real-time to drive d3 visualizations using apache storm, the ""hadoop of real time.""  storm is free, open source, and fun to use!  learn from karthik ramasamy, technical lead of storm@twitter, about the distributed, fault-tolerant, and flexible technology used to power twitter’s real-time data flow pipeline.  twitter open sourced storm in 2011, and it graduated to a top-level apache project in september, 2014.  ,starting from basic distributed concepts presented during our first udacity-twitter storm hackathon, link storm concepts to storm syntax to scalably drive word cloud visualizations with vagrant, ubuntu, maven, flask, redis, and d3.  link to the public twitter gardenhose stream to process live tweets, parse embedded urls, and calculate top worldwide hashtags.  extend beyond storm basics by exploring multi-language capabilities in python, integrate open source components, and implement real-time streaming joins.,in your final project, follow real-time trending topics by implementing the data pipeline to visualize only tweets that contain top worldwide hashtags.  extend your project by exploring the twitter api, or any data source, alongside hackathon participants as they design their own ideas, receive feedback from karthik, and open source a final project calculating real-time tweet sentiment and geolocation to drive a u.s. map."
a/b testing,"this course will cover the design and analysis of a/b tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. two versions of the website are shown to different users - usually the existing website and a potential change. then, the results are analyzed to determine whether the change is an improvement worth launching. this course will cover how to choose and characterize metrics to evaluate your experiments, how to design an experiment with enough statistical power, how to analyze the results and draw valid conclusions, and how to ensure that the the participants of your experiments are adequately protected."
machine learning,"machine learning is a graduate-level course covering the area of artificial intelligence concerned with computer programs that modify and improve their performance through experiences. ,the first part of the course covers supervised learning, a machine learning task that makes it possible for your phone to recognize your voice, your email to filter spam, and for computers to learn a bunch of other cool stuff.,in part two, you will learn about unsupervised learning. ever wonder how netflix can predict what movies you'll like? or how amazon knows what you want to buy before you do? such answers can be found in this section!,finally, can we program machines to learn like humans? this reinforcement learning section will teach you the algorithms for designing self-learning agents like us!"
data visualization and d3.js,"learn the fundamentals of data visualization and practice communicating with data. this course covers how to apply design principles, human perception, color theory, and effective storytelling to data visualization. if you present data to others, aspire to be an analyst or data scientist, or if you’d like to become more technical with visualization tools, then you can grow your skills with this course.,the course does not cover exploratory approaches to discover insights about data. instead, the course focuses on how to visually encode and present data to an audience once an insight has been found.,this course is part of the ,."
secure and private ai,"what’s the earliest we can predict cancer survival rates, and what schools do the best job of educating children? you can only answer these questions with very rare access to private and personal data, but access to this personal data requires that you master methods for the principled protection of user privacy. while not all privacy use cases have been solved, the last few years have seen great strides in privacy-preserving technologies.,this free course will introduce you to three cutting-edge technologies for privacy-preserving ai: federated learning, differential privacy, and encrypted computation. you will learn how to use the newest privacy-preserving technologies, such as openmined's pysyft. pysyft extends deep learning tools—such as pytorch—with the cryptographic and distributed technologies necessary to ,we encourage you to enter the , to both take the course and have a chance to win a scholarship for the deep learning or computer vision nanodegree programs."
artificial intelligence,"learn about the fundamentals of artificial intelligence in this introductory graduate-level course. it provides a survey of various topics in the field along with in-depth discussion of foundational concepts such as classical search, probability, machine learning, logic and planning."
intel® edge ai fundamentals with openvino™,stay at the cutting-edge of ai technology by gaining practical skills for deploying edge ai. learn how to use the intel® distribution of the openvino™ toolkit to deploy computer vision capabilities inside a range of edge applications. leverage the potential of edge computing and use the intel® distribution of the openvino™ toolkit to fast-track development of high-performance computer vision and deep learning inference applications.
