title,description
front end frameworks,"learn how to build single page applications in various front end frameworks! in this course, you'll learn how to create both an angular application and an ember app from scratch.,as you work through the course, you'll learn key architectural design techniques that make frameworks incredibly powerful."
responsive web design fundamentals,"in this course you'll learn the fundamentals of responsive web design with google's pete lepage! you'll create your own responsive web page that works well on any device - phone, tablet, desktop or anything in between.,you’ll start by exploring what makes a site responsive and how some common responsive design patterns work across different devices.  from there, you’ll learn how to create your own responsive layout using the viewport tag and css media queries.  as you proceed, you’ll experiment with major and minor breakpoints, and optimizing text for reading."
web tooling & automation,"in this course, you’ll learn how to setup your development, get super productive during daily work and iteration, prevent yourself and your site from disasters and save a lot of time and effort with automatic optimization and automation. finally, you’ll learn how to do all this while being confident your code runs on a multitude of devices in the real world."
become a developer for microsoft azure,"microsoft azure is one of the most popular cloud services platforms used by enterprises, making it a crucial tool for cloud computing professionals to add to their skillset. the developer for microsoft azure nanodegree program teaches students how to deploy, build, migrate, and monitor applications on azure, thereby preparing learners for success on microsoft’s az-204 azure developer associate expert certification."
android basics: multiscreen apps,"this course is a part of the ,.,android apps are everywhere and learning to build them can be a fantastic career move. continue on your android app development education and learn to build multi-screen apps!,this course is designed for students who have completed the ,. you don’t need any programming experience besides that course!,learning anything new can be tough. we will walk you through the process of making android apps, but to get the most out of this course, bring your enthusiasm for learning, and budget time on your calendar to learn with us.  it will be an adventure!,by the end of the course, you’ll build a language-learning app that you can share with your friends. ,if you’re curious about the road even farther ahead, these are the free courses that make up the android basics nanodegree, in order: "
become a machine learning engineer for microsoft azure,"in this program, students will enhance their skills by building and deploying sophisticated machine learning solutions using popular open source tools and frameworks, and gain practical experience running complex machine learning tasks using the built-in azure labs accessible inside the udacity classroom."
predictive analytics for business,learn to apply predictive analytics and business intelligence to solve real-world business problems.
become a data architect,"in this program, you’ll plan, design and implement enterprise data infrastructure solutions and create the blueprints for an organization’s data management system. you’ll create a relational database with postgresql, design an online analytical processing (olap) data model to build a cloud based data warehouse, and design scalable data lake architecture that meets the needs of big data. finally, you’ll learn how to apply the principles of data governance to an organization’s data management system.  
"
microsoft power platform,
become a hybrid cloud engineer,"this nanodegree program, built in collaboration with experts from nutanix, a leader in the cutting-edge field of hyperconverged infrastructure software, takes cloud technology and data-center professionals on an in-depth journey into the design, deployment, and management of infrastructure and applications together on the hybrid cloud. master the concepts you need to transform how your it teams manage applications and support the business."
agile software development,"learn how to build products that deliver continuous value to customers using an agile approach to software development. by the end of this program, students will be able to differentiate between scrum, kanban, and xp, create an environment that fosters high performing teams, and manage iteration planning using agile techniques. students will also be able to create a release plan for a minimum viable product, create metrics that show project status, and effectively communicate progress both within and outside of the development team."
become an rpa developer,the rpa developer nanodegree program helps students develop professional-level skills focused on developing and deploying software robots. you will learn basic rpa concepts and how to use the uipath rpa software platform to automate business processes while refreshing basic programming skills along the way.
become an android kotlin developer,"built in collaboration with google, this program will prepare you to become a professional android developer and allow you to create a diverse portfolio of projects to show employers. by the end of this program, you will be able to use android development platform best-practices, android studio, android jetpack, and kotlin to build your own apps for the world’s most-used mobile platform.
"
learn intermediate python,"python is a general-purpose coding language with applications in web development, data science, machine learning, fintech and more. the intermediate python nanodegree program equips you to leverage the capabilities of python and streamline the functionality of applications that perform complex tasks, such as classifying files, data mining a webpage, etc. by the end of the program, you’ll have a portfolio that demonstrates your ability to apply practicioner-level python skills on the job.
"
activation and retention strategy,"get started with the second course in the growth product manager nanodegree program. hone specialized product management skills in activation and retention strategy by learning how to guide users through the activation funnel as fast as possible, so they reach your product’s aha-moment. apply the fundamentals of increasing customer engagement, and learn how to analyze cohorts to identify key factors for retention. you will also deploy experiments to improve customer lifetime value and decrease churn rate."
data streaming ,"learn how to process data in real-time by building fluency in modern data engineering tools, such as apache spark, kafka, spark streaming, and kafka streaming.

you’ll start by understanding the components of data streaming systems. you’ll then build a real-time analytics application. students will also compile data and run analytics, as well as draw insights from reports generated by the streaming console."
intel® edge ai for iot developers,"leverage the intel® distribution of openvino™ toolkit to fast-track development of high-performance computer vision and deep learning inference applications, and run pre-trained deep learning models for computer vision on-premise. you will identify key hardware specifications of various hardware types (cpu, vpu, fpga, and integrated gpu), and utilize the intel® devcloud for the edge to test model performance on the various hardware types. finally, you will use software tools to optimize deep learning models to improve performance of edge ai systems. "
become a sensor fusion engineer,"learn to detect obstacles in lidar point clouds through clustering and segmentation, apply thresholds and filters to radar data in order to accurately track objects, and augment your perception by projecting camera images into three dimensions and fusing these projections with other sensor data. combine this sensor data with kalman filters to perceive the world around a vehicle and track objects over time."
become a product manager,"product managers are responsible for designing and delivering a profitable product or feature into the market. in this program, you will learn to define product strategy and kpis based on market analysis, pitch a product vision to get stakeholder buy-in, and design a user-centered prototype that adheres to engineering constraints. then, you will develop an execution timeline that handles competing priorities, communicate a product roadmap that builds consensus amongst internal stakeholders, and create a comprehensive go-to-market plan based on product kpis. finally, you will build tests to enhance product features based on market data.
"
programming for data science with r,"learn the programming fundamentals required for a career in data science. by the end of the program, you will be able to use r, sql, command line, and git."
data structures and algorithms,"in this course you will learn data structures and algorithms by solving 80+ practice problems. you will begin each course by learning to solve defined problems related to a particular data structure and algorithm. by the end of each course, you would be able to evaluate and assess different data structures and algorithms for any open-ended problem and implement a solution based on your design choices."
learn intermediate javascript,"the goal of the intermediate javascript nanodegree program is to prepare students for roles in web development, server-side application development, and desktop development that require a more advanced set of javascript skills. this program will also prepare students with the skills required to use javascript frameworks like react, angular, and vue. "
data science for business leaders,"this course provides business leaders and managers with strategies and guidelines for how best to solve the human capital, technological, and management challenges of building data science into the business. students will gain skills in identifying opportunities for data science across many functional areas of the business, as well as learn the tools to prioritize and execute on those opportunities as part of a data science initiative."
ai for business leaders,"you’ll develop foundational technical knowledge of machine learning and the business applications of artificial intelligence across industries. through practical case studies, you’ll learn what strategic questions to ask, and how to formulate proposals when evaluating opportunities to embed machine learning processes and artificial intelligence technology into a corporate strategy. finally, in the capstone project, you will build an ai-backed strategy that can be integrated into your own business."
become a data product manager,"leverage market data to amplify product development. learn how to apply data science techniques, data engineering processes, and market experimentation tests to deliver customized product experiences. begin by leveraging the power of sql and tableau to inform product strategy. then, develop data pipelines and warehousing strategies that prepare data collected from a product for robust analysis. finally, learn techniques for evaluating the data from live products, including how to design and execute various a/b and multivariate tests to shape the next iteration of a product."
become a growth product manager,"during the growth product manager nanodegree program, you will learn to build acquisition funnels, identify core customers, and optimize growth loop models. then, you will learn how to analyze your results and make improvements to your strategies. next, you will learn activation theories on how to decrease time-to-value and friction for both b2c and b2b product users, as well as retention theories, for creating audiences and increasing engagement. finally, you will learn the ins and outs of monetization, from designing pricing plans to determining optimal price points using pricing metrics."
become a robotics software engineer,"begin your exploration into the world of robotics software engineering with a practical, system-focused approach to programming robots using the ros framework and c++. in addition, learn and apply robotics software engineering algorithms such as localization, mapping, and navigation."
data visualization,"you’ll start by building data visualizations and dashboards, considering your audiences to be as effective as possible. then, you’ll move into drafting presentations using storytelling techniques, visualizations, and animations to provide data-driven recommendations. "
flying car and autonomous flight engineer,"you’ll learn the core concepts required to design and develop robots that fly. you’ll work with the quadrotor test platform and our custom flight simulator to implement planning, control, and estimation solutions."
become a java web developer,"learn back-end development with the java programming language, one of the most popular programming languages in the world and one a majority of large enterprises rely on for their infrastructure.  "
expand your knowledge of artificial intelligence,"learn to write programs using the foundational ai algorithms powering everything from nasa’s mars rover to deepmind’s alphago zero. you’ll master beam search and random hill climbing, bayes networks and hidden markov models, and more."
become a marketing analyst,"in this program, you’ll learn foundational data skills, gain an in-depth understanding of google analytics and marketing analytics. you’ll learn to analyze data and build models with excel, data studio, and create informative data visualizations with tableau."
become a blockchain developer,"learn the fundamentals of the blockchain platform. create your own private blockchain, and secure a digital asset using blockchain identity. explore the ethereum platform, and use solidity and smart contracts to develop your own decentralized app."
introduction to cybersecurity,"take your first step toward a career in cybersecurity and learn the skills required to become a security professional with the introduction to cybersecurity nanodegree program. in this program, you will learn how to evaluate, maintain, and monitor the security of computer systems. you’ll also learn how to assess threats, respond to incidents, and implement security controls to reduce risk and meet security compliance goals."
ai for healthcare,"learn to build, evaluate, and integrate predictive models that have the power to transform patient outcomes.  begin by classifying and segmenting 2d and 3d medical images to augment diagnosis and then move on to modeling patient outcomes with electronic health records to optimize clinical trial testing decisions. finally, build an algorithm that uses data collected from wearable devices to estimate the wearer’s pulse rate in the presence of motion."
android basics by google,we built this curriculum with google for aspiring android developers who are new to programming to ensure that you get the real-world skills you need to know how to build and accelerate your journey towards becoming a professional android developer.
become a natural language processing expert,"learn cutting-edge natural language processing techniques to process speech and analyze text. build probabilistic and deep learning models, such as hidden markov models and recurrent neural networks, to teach the computer to do tasks such as speech recognition, machine translation, and more!"
intro to self-driving cars,"in this program, you’ll sharpen your python skills, apply c++, apply matrices and calculus in code, and touch on computer vision and machine learning. these concepts will be applied to solving self-driving car problems. at the end, you’ll be ready for our self-driving car engineer nanodegree program!"
become a react developer,"in this nanodegree program, you'll learn how to build declarative user interfaces for the web with react, and for ios and android with react native. you'll also learn how to manage state more predictably in your applications with redux."
become an aws cloud architect,"play a critical role in an organization’s cloud computing strategy as an aws cloud architect. learn to plan, design, and implement secure cloud infrastructure in aws at scale. begin by designing and building high availability infrastructure, and then move on to building scalable, secure, and cost-optimized architecture. finally, explore and execute best practices and strategies around securing access to cloud services and infrastructure. 

"
intro to machine learning with tensorflow,"learn foundational machine learning algorithms, starting with data cleaning and supervised models. then, move on to exploring deep and unsupervised learning. at each step, get practical experience by applying your skills to code exercises and projects.
"
become a deep reinforcement learning expert,"learn cutting-edge deep reinforcement learning algorithms—from deep q-networks (dqn) to deep deterministic policy gradients (ddpg). apply these concepts to train agents to walk, drive, or perform other complex tasks, and build a robust portfolio of deep reinforcement learning projects."
become an ios developer,"you will start by learning the basics of ios app development using the swift programming language and xcode, apple's development environment. you'll develop your first ios apps using layouts, views, uikit, and more. then, you’ll progress to build more complex and advanced applications, using networking, and apple’s grand central dispatch and core data, and will be ready to publish your capstone project to the app store."
become a cloud developer,"start by learning the fundamentals of cloud development and deployment with aws. then, build different apps leveraging microservices, kubernetes clusters, and serverless application technology. "
become a computer vision expert,"learn cutting-edge computer vision and deep learning techniques—from basic image processing, to building and customizing convolutional neural networks. apply these concepts to vision tasks such as automatic image captioning and object tracking, and build a robust portfolio of computer vision projects."
become a devops engineer for microsoft azure,"microsoft azure is one of the most popular cloud services platforms used by enterprises, making it a crucial tool for cloud computing professionals to add to their skillset. the devops engineer for microsoft azure nanodegree program teaches students how to deploy, test, and monitor cloud applications on azure, thereby preparing learners for success on microsoft’s az-400 devops engineer expert certification exam."
intro to machine learning with pytorch,"learn foundational machine learning algorithms, starting with data cleaning and supervised models. then, move on to exploring deep and unsupervised learning. at each step, get practical experience by applying your skills to code exercises and projects.
"
monetization strategy course,"build sustainable profit streams from products. learn how to identify target markets, buyer personas, and outreach channels to optimize the path to purchase. begin by synthesizing market and customer data to formulate key buyer personas and the relevant outreach channel mix build. then, leverage buyer psychology to develop a path to purchase that is optimized for paid conversion. finally, apply premium value and pricing tactics to create a monetization model that increases the customer lifetime value : customer acquisition cost (ltv : cac) ratio. "
artificial intelligence for trading,"learn the basics of quantitative analysis, including data processing, trading signal generation, and portfolio management. use python to work with historical stock data, develop trading strategies, and construct a multi-factor model with optimization."
ai programming with python,"learn the essential foundations of ai: the programming tools (python, numpy, pytorch), the math (calculus and linear algebra), and the key techniques of neural networks (gradient descent and backpropagation)."
learn sql,"perform analysis on data stored in relational and non-relational database systems to power strategic decision-making. learn to determine, create, and execute sql and nosql queries that manipulate and dissect large scale datasets. begin by leveraging the power of sql commands, functions, and data cleaning methodologies to join, aggregate, and clean tables, as well as complete performance tune analysis to provide strategic business recommendations. finally, apply relational database management techniques to normalize data schemas in order to build the supporting data structures for a social news aggregator."
